user_id,wallet,tokens
1,0x6c10cb11e670F9A956E0154Ca27e0C8937Ce09ec,15012413927542670
2,0x2070397297D98A5585341663d0f912DaB8DE3177,2369323373160433
3,0x788A07b8Df7F5DB17a0C2E032E262C462B44a6D3,41948645533702808
4,0xB14CF9B14db20b0B6A964d0ee7f60894e1F186DD,909284103440770
5,0xDF3d9c920c5B2473E12e4a7caaDdBFeE1fE80e89,6523010129936562
6,0x17ff7a4309C621E0F91e1Ec5C09999b1A743FEE1,33102467623176072
7,0xc2B0F24D6BcfDBB3b7960f690E2C2eB77b56F6e5,26233775976657372
8,0xd1a8Dd23e356B9fAE27dF5DeF9ea025A602EC81e,1593484422646776
9,0x851497cf9B1362858C095CdD577B506d24F57336,367295889457100
10,0x4876659a4f5668a27513530C7C1f7dAEB6d27F39,23572822187454272
11,0xe76f8cF164406F51201f21c5ed57a4EEcBB5b883,381268477758617600
12,0xa60f18b7653d363f12A263de60C4d03E12159d15,60909366369735456
13,0x05dD49D5E79DacEA849790c8857F9dbd8E16e82c,1553408138457312
14,0x0aD44d859EE7DD6908Fa68BeD7d80828a188C6aa,908785225431260
15,0x5Da0834f5dbec360675a2e32377E2346A01b7c12,152355165617499968
16,0x4e00F9E963B2D65C3a1169A9247917c7cb85cd0c,12726581739317834
17,0xB2a4584407bB58A02a4183D20A4fBC1dB4c55B92,2521061576037198848
18,0xb500d933b379bC33fC8332aDf917495917e3915c,39178479657398928
19,0x7e382164764407547A9690e66E71527d3aD2Bd58,90212933437831440
20,0x560858580455B2E277dde49E4e907653761DF20c,26464116217520432
21,0xDb769079c525728eB49bf4a522D995D52083502c,56058503969882200
22,0x2320A38D525a7539CF6e24FC3A9197ee7e496674,56709452122030096
23,0x14D768309F02E9770482205Fc6eBd3C22dF4f1cf,722982561385494528
24,0x834abbBC3A896E3490a2dC04A145e83F2b329fa9,18017093943592800
25,0xFa1d4fB9F62a34c37A5912ae7cE38ddeeB4fE0f9,9293423788230848512
